Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2004,UTA,Utah Jazz,5.250,18.625,0.150,148.000,304.750,0.455,42.000,149.000,1184.000,2438.000
2004,WAS,Washington Wizards,10.143,29.857,0.171,140.143,291.286,0.465,71.000,209.000,981.000,2039.000
2006,ATL,Atlanta Hawks,2.125,9.375,0.230,116.125,252.500,0.456,17.000,75.000,929.000,2020.000
2006,BKN,Brooklyn Nets,4.167,11.667,0.095,114.667,217.000,0.409,25.000,70.000,688.000,1302.000
2006,BOS,Boston Celtics,7.625,20.000,0.214,131.250,269.750,0.441,61.000,160.000,1050.000,2158.000
2006,CHA,Charlotte Hornets,17.875,47.375,0.450,154.000,323.000,0.488,143.000,379.000,1232.000,2584.000
2006,CHI,Chicago Bulls,11.571,32.143,0.097,125.714,277.857,0.447,81.000,225.000,880.000,1945.000
2006,CLE,Cleveland Cavaliers,16.000,47.833,0.130,178.500,368.500,0.398,96.000,287.000,1071.000,2211.000
2006,DAL,Dallas Mavericks,14.000,37.857,0.234,136.286,261.286,0.479,98.000,265.000,954.000,1829.000
2006,DEN,Denver Nuggets,12.000,34.000,0.076,151.429,287.143,0.553,84.000,238.000,1060.000,2010.000
2006,DET,Detroit Pistons,17.333,49.833,0.175,139.500,279.167,0.511,104.000,299.000,837.000,1675.000
2006,GSW,Golden State Warriors,23.667,65.667,0.356,117.833,218.667,0.444,142.000,394.000,707.000,1312.000
2006,HOU,Houston Rockets,0.000,0.500,0.000,252.250,492.500,0.528,0.000,2.000,1009.000,1970.000
2006,IND,Indiana Pacers,0.750,3.750,0.143,174.000,380.000,0.523,3.000,15.000,696.000,1520.000
2006,LAC,Los Angeles Clippers,23.333,62.167,0.319,196.500,400.000,0.468,140.000,373.000,1179.000,2400.000
2006,LAL,Los Angeles Lakers,23.333,70.000,0.173,172.500,323.000,0.531,140.000,420.000,1035.000,1938.000
2006,MEM,Memphis Grizzlies,3.500,11.667,0.136,200.333,384.667,0.521,21.000,70.000,1202.000,2308.000
2006,MIA,Miami Heat,12.000,44.429,0.069,167.143,322.714,0.471,84.000,311.000,1170.000,2259.000
2006,MIL,Milwaukee Bucks,13.375,38.625,0.266,111.375,227.375,0.440,107.000,309.000,891.000,1819.000
2006,MIN,Minnesota Timberwolves,3.500,15.667,0.126,226.667,454.333,0.453,21.000,94.000,1360.000,2726.000
2006,NOP,New Orleans Pelicans,2.571,8.286,0.131,148.714,297.286,0.478,18.000,58.000,1041.000,2081.000
2006,NYK,New York Knicks,0.857,3.857,0.472,176.000,338.714,0.417,6.000,27.000,1232.000,2371.000
2006,OKC,Oklahoma City Thunder,0.000,1.429,0.000,151.429,293.286,0.497,0.000,10.000,1060.000,2053.000
2006,ORL,Orlando Magic,2.000,6.000,0.211,166.000,311.500,0.473,12.000,36.000,996.000,1869.000
2006,PHI,Philadelphia 76ers,0.000,0.500,0.000,102.833,186.167,0.485,0.000,3.000,617.000,1117.000
2006,PHX,Phoenix Suns,4.200,14.400,0.121,208.600,376.400,0.483,21.000,72.000,1043.000,1882.000
2006,POR,Portland Trail Blazers,3.714,15.714,0.162,191.857,402.857,0.453,26.000,110.000,1343.000,2820.000
2006,SAC,Sacramento Kings,1.143,8.143,0.060,138.571,282.429,0.409,8.000,57.000,970.000,1977.000
2006,SAS,San Antonio Spurs,14.500,42.333,0.208,174.167,327.167,0.494,87.000,254.000,1045.000,1963.000
2006,TOR,Toronto Raptors,25.571,71.286,0.312,169.571,341.429,0.475,179.000,499.000,1187.000,2390.000
2006,UTA,Utah Jazz,26.000,67.800,0.359,263.600,501.800,0.488,130.000,339.000,1318.000,2509.000
